Flags,IntendedVsync,Vsync,OldestInputEvent,NewestInputEvent,HandleInputStart,AnimationStart,PerformTraversalsStart,DrawStart,SyncQueued,SyncStart,IssueDrawCommandsStart,SwapBuffers,FrameCompleted,DequeueBufferDuration,QueueBufferDuration,GpuCompleted
1,136439514431921,136439514431921,9223372036854775807,0,136439514919371,136439514923448,136439552768295,136439564443218,136439628907256,136439629706910,136439633722487,136439647657141,136439649766910,451923,1327808,136439658984256
0,136439564155777,136439664155779,9223372036854775807,0,136439675551025,136439675554948,136439687085948,136439687424064,136439688580448,136439689190525,136439690322141,136439699310410,136439702458294,606154,2556384,136439710579871
0,136439696732476,136439713399143,9223372036854775807,0,136439718281217,136439718284487,136439721738910,136439722071602,136439731409256,136439732155487,136439733790871,136439743245256,136439744560102,414346,678462,136439753273871
0,136439729876943,136439763210277,9223372036854775807,0,136439770474256,136439770478641,136439774701602,136439775094256,136439784558025,136439785251064,136439788494833,136439795431294,136439797716564,371846,1710538,136439805949833
0,136439779588155,136439779588155,9223372036854775807,0,136439788860987,136439788865448,136439792643140,136439793033948,136439803244371,136439803932794,136439805927717,136439812876179,136439813879602,282923,487115,136439823209910
0,136439796160165,136439796160165,9223372036854775807,0,136439807256294,136439807260717,136439813391717,136439818260756,136439824817640,136439825455025,136439827299448,136439836092371,136439837628756,561192,830269,136439846307794
0,136439812732175,136439812732175,9223372036854775807,0,136439827168294,136439827172025,136439834234025,136439834590102,136439842987448,136439843932756,136439852293179,136439859149948,136439860686333,471693,883230,136439869636640
0,136439829329317,136439862662651,9223372036854775807,0,136439872662256,136439872677064,136439879239679,136439879564333,136439886850525,136439887679717,136439891539756,136439899880525,136439901571294,566154,902038,136439909920025
0,136439879060530,136439912393864,9223372036854775807,0,136439920503102,136439920506794,136439921813756,136439922027333,136439926363294,136439927493717,136439931158294,136439939780640,136439941202294,380231,609769,136439949528910
0,136439928780813,136439928780813,9223372036854775807,0,136439931585410,136439931589102,136439942178640,136439942502025,136439943907563,136439944827563,136439947730525,136439955573217,136439956947179,500115,819654,136439966208525
0,136439945354502,136439945354502,9223372036854775807,0,136439947674640,136439947677948,136439956351448,136439956619217,136439957795333,136439958418294,136439960383987,136439968093717,136439969432640,269885,686616,136439977664679
0,136439961934251,136439961934251,9223372036854775807,0,136439962543756,136439962547987,136439967415102,136439967701333,136439968977294,136439970463602,136439972805525,136439983588871,136439984926833,392693,536423,136439991668717
0,136439978506959,136439978506959,9223372036854775807,0,136439979197833,136439979202063,136439989253640,136439989576679,136439990916448,136439992225025,136439994377025,136440003665410,136440005405410,556154,887500,136440013733525
0,136439995078235,136439995078235,9223372036854775807,0,136439995526448,136439995530217,136440005309986,136440005567486,136440006596910,136440007322140,136440009301410,136440016201448,136440017417333,262770,595000,136440026453333
0,136440011651114,136440011651114,9223372036854775807,0,136440013328640,136440013332717,136440023419679,136440023761602,136440025210025,136440025971833,136440028097333,136440034301140,136440035430871,330346,571923,136440045412679
0,136440028222546,136440028222546,9223372036854775807,0,136440028686525,136440028690679,136440041302063,136440041569679,136440042577063,136440043249140,136440045535025,136440051552217,136440052801679,264462,711653,136440062421640
0,136440044789437,136440044789437,9223372036854775807,0,136440045743371,136440045747256,136440059866679,136440060134063,136440061104602,136440061745794,136440063389448,136440069377948,136440070613486,349231,688462,136440080497025
0,136440061370190,136440061370190,9223372036854775807,0,136440063398640,136440063401294,136440064814256,136440065059256,136440065945256,136440071584294,136440073460294,136440079724794,136440080968217,274807,601115,136440091614871
0,136440077939858,136440077939858,9223372036854775807,0,136440078442294,136440078445986,136440087715602,136440087970217,136440089012794,136440089868717,136440092081410,136440101258563,136440102424563,394462,619807,136440111661333
0,136440094509549,136440094509549,9223372036854775807,0,136440094968294,136440094971679,136440106050333,136440106324909,136440107370948,136440108167448,136440109953448,136440116340794,136440117433448,313384,573077,136440127233409
0,136440111080636,136440111080636,9223372036854775807,0,136440111521948,136440111525256,136440115271409,136440115496256,136440116459448,136440118393986,136440120161486,136440126300102,136440127704833,278923,805884,136440138435333
0,136440127653888,136440127653888,9223372036854775807,0,136440128260102,136440128264140,136440138694409,136440138913986,136440139828871,136440140739679,136440142474256,136440148729986,136440149944409,303307,597154,136440159545756
0,136440144227175,136440144227175,9223372036854775807,0,136440144896948,136440144902025,136440154614486,136440154846448,136440155733063,136440156581486,136440158329833,136440164523025,136440165535179,252885,513000,136440175354486
0,136440160798501,136440160798501,9223372036854775807,0,136440161399525,136440161402909,136440170802371,136440171040871,136440171959333,136440172551409,136440174175409,136440180609217,136440181826640,261269,586654,136440191239794
0,136440177365581,136440177365581,9223372036854775807,0,136440178089063,136440178093179,136440187515948,136440187767525,136440188841102,136440189935679,136440191862294,136440197859409,136440199112986,340923,630269,0
0,136440193932378,136440193932378,9223372036854775807,0,136440195267525,136440195271756,136440203848448,136440204159679,136440205175948,136440205980833,136440208245563,136440214409563,136440215602025,386962,590347,8949587680955408796
0,136440210499594,136440210499594,9223372036854775807,0,136440212200679,136440212204833,136440220755832,136440221022486,136440222060140,136440223093563,136440225161217,136440233777025,136440235040986,555269,631846,6119828943643142351
0,136440177365581,136440177365581,9223372036854775807,0,136440178089063,136440178093179,136440187515948,136440187767525,136440188841102,136440189935679,136440191862294,136440197859409,136440199112986,340923,630269,136440208738794
0,136440193932378,136440193932378,9223372036854775807,0,136440195267525,136440195271756,136440203848448,136440204159679,136440205175948,136440205980833,136440208245563,136440214409563,136440215602025,386962,590347,136440225229832
0,136440210499594,136440210499594,9223372036854775807,0,136440212200679,136440212204833,136440220755832,136440221022486,136440222060140,136440223093563,136440225161217,136440233777025,136440235040986,555269,631846,136440244421717
0,136440227063730,136440227063730,9223372036854775807,0,136440227603486,136440227607640,136440238077025,136440238353102,136440239441025,136440247000871,136440248911602,136440256546679,136440257752179,406807,584577,136440267102448
